title,subject,actual_price,actual,own_price_bin,own,meta
Flannan,6,936000,1,1,0,0.35
Calvary,6,850,0,0,0,0.05
RED CHANGER,6,9100,0,1,0,0.25
Samurai,6,85,0,1,0,0.2
Standing Male Nude in the Shower,6,1160000,1,1,0,0.1
Folly,6,1200,0,2,1,0.5
a place,6,60,0,2,1,0.45
Nude Aqua,6,70,0,1,0,0.15
Bruce Bernard,6,119556,1,1,0,0.35
Yellow spin,6,6000,0,1,0,0.4
The still life with the flowers,6,650,0,2,1,0.45
dance in the living room,6,8000,0,1,0,0.2
Birdie View II,6,1625,0,1,0,0.15
Rhythmic Structure,6,4500,0,1,0,0.35
On The Couch,7,700,0,1,0,0.2
conversation with spoonbill,7,50,0,1,0,0.5
Nu debout,7,689600,1,2,1,1
ramana,7,9600,0,1,0,0.2
Captives,7,779200,1,1,0,0.2
Intruder,7,20,0,1,0,0.1
Midsummer Night,7,650,0,1,0,0.1
Waiting for the rain,7,100,0,1,0,0
Flor,7,800,0,1,0,0
Red Irises,7,2500,0,1,0,0.05
celestial,7,1900,0,1,0,0.2
Amazing land,7,89,0,1,0,0.01
Lotus Rising,7,14400,0,1,0,0.1
Mandala No3,7,1500,0,1,0,0.1
Quality Material,7,4408000,1,2,1,0.7
It is my thing this Evening,7,4500,0,0,0,0
Untitled - P137,7,1810276,1,2,1,0.2
Canada Two Toronto,7,8550,0,1,0,0.01
Night,7,1384000,1,2,1,0.7
"Untitled (Monsieur Francois Pinault, President du Groupe Artemis)",7,240000,1,1,0,0
Head and Bottle,7,6536000,1,3,1,1
Keep Me Safe,7,119556,1,2,1,0.8
Mouth #2,7,2168000,1,2,1,0.3
M-39,7,96000,1,2,1,0.6
Armenian Question,7,288000,1,1,0,0.2
Lip-biter,7,384000,1,2,1,0.4
Elemental 11,7,675,0,1,0,0.1
Interval Series apolyo,7,9000,0,2,1,0.4
Galloping Horse Blur,7,1200,0,1,0,0.1
Squirrel Hole,7,85,0,1,0,0
Red Scarf,7,54000,1,2,1,0.15
Prelude,7,7500,0,1,0,0.1
Asleep,7,2500,0,2,1,0.2
muse 18,7,3750,0,1,0,0.1
scarlet,7,4000,0,2,1,0.2
Sinking Ship,7,902564,1,1,0,0.2
The town sonnets,7,950,0,1,0,0.1
The girl in red,7,950,0,1,0,0.3
Hotel Window,7,26896000,1,3,1,1
Botticelli e Filippino,7,7000,0,1,0,0.1
Ericksons,7,10344000,1,2,1,0.6
BLUE SELLY 2,7,3200,0,1,0,0.1
Censorship,7,7500,0,1,0,0.1
You are beautiful,7,2800,0,1,0,0.15
Portrait of the Artist and His Friends,7,2618925,1,3,1,0.6
HOW MUCH,7,25,0,1,0,0.4
Chorus,7,4800,0,2,1,0.4
Tender Nurse,7,2256000,1,3,1,1
Morning,7,1100,0,1,0,0.1
Moth,7,747825,1,2,1,0.8
Green Dress In Blue Space,7,4500,0,1,0,0.1
Falling Figure with Bird,7,1248000,1,2,1,0.6
Those Who Are Here Again,7,824000,1,1,0,0.2
Camel Driver,7,4500,0,1,0,0.1
Portrait-2,7,950,0,1,0,0.2
1304,7,6000,0,1,0,0.4
sleepy land,7,65,0,1,0,0.1
THE 10th MILKY WAY 5th CONSTELLATION GALAXY OF TUUNES,7,8000,0,0,0,0
Mapping the Soul,7,35,0,0,0,0
Bobs World,7,822400,1,2,1,0.8
Recompensa,7,980,0,2,1,0.6
High Society,7,968000,1,2,1,0.8
Jasmine,7,4200,0,1,0,0.1
A Question of Balance,7,950,0,1,0,0.1
Panic,7,75,0,0,0,0
under the sun,7,4800,0,2,1,0.2
abstract66,7,7500,0,2,1,0.1
White line melody,7,850,0,2,1,0.4
Lavender Mist,7,420000,1,3,1,1
Figure 4,7,17400000,1,3,1,1
Sharp Angle,7,350,0,1,0,0.01
Colorado River,7,192000,1,2,1,0.2
structure I,7,50,0,1,0,0.1
Self-Portrait as Goofy-Foot,7,744000,1,1,0,0.05
tree of life,7,9000,0,1,0,0.05
Flannan,7,936000,1,2,1,0.8
Calvary,7,850,0,1,0,0.05
RED CHANGER,7,9100,0,2,1,0.2
Samurai,7,85,0,1,0,0.6
Standing Male Nude in the Shower,7,1160000,1,1,0,0.1
Folly,7,1200,0,1,0,0.05
a place,7,60,0,1,0,0.05
Nude Aqua,7,70,0,1,0,0.02
Bruce Bernard,7,119556,1,3,1,1
Yellow spin,7,6000,0,1,0,0.02
The still life with the flowers,7,650,0,1,0,0.03
dance in the living room,7,8000,0,1,0,0.02
Birdie View II,7,1625,0,1,0,0.05
Rhythmic Structure,7,4500,0,3,1,0.9
Dilusion,7,750,0,1,0,0.03
On The Couch,8,700,0,1,0,0.2
conversation with spoonbill,8,50,0,0,0,0
Nu debout,8,689600,1,0,0,0
ramana,8,9600,0,1,0,0
