state,expt city,subject,own,meta,confidence,actual
Idaho,Boise,b3,0,0.48,0.5,1
Idaho,Boise,b4,1,0.7,0.5,1
Idaho,Boise,b5,1,0.95,1,1
Idaho,Boise,c1,1,0.65,1,1
Idaho,Boise,c2,1,0.7,0.8,1
Idaho,Boise,c3,1,0.8,0.8,1
Idaho,Boise,c4,1,0.8,1,1
Idaho,Boise,d10,1,0.75,0.6,1
Idaho,Boise,d2,0,0.5,0.5,1
Idaho,Boise,d3,1,0.6,0.8,1
Idaho,Boise,d6,0,0.5,0.5,1
Idaho,Boise,d6b,1,1,1,1
Idaho,Boise,d7,1,0.7,0.95,1
Idaho,Boise,d8,1,0.45,0.8,1
Idaho,Boise,d9,1,0.5,0.5,1
Illinois,Chicago,52966,0,0.4,1,0
Illinois,Chicago,sub1,1,0.7,0.6,0
Illinois,Chicago,31720,0,0.8,1,0
Illinois,Chicago,31828,0,0.01,1,0
Illinois,Chicago,32008,0,0.65,1,0
Illinois,Chicago,33550,1,1,1,0
Illinois,Chicago,43924,1,0.95,1,0
Illinois,Chicago,44383,1,0.9,0.95,0
Illinois,Chicago,52807,1,0.95,0.88,0
Illinois,Chicago,57337,1,0.6,0.7,0
Illinois,Chicago,57346,1,1,1,0
Illinois,Chicago,57394,0,0.45,0.85,0
Illinois,Chicago,57427,1,0.9,0.5,0
Illinois,Chicago,57436,0,0.5,1,0
Illinois,Chicago,666,0,0.8,0.9,0
Illinois,Chicago,a,1,1,1,0
Illinois,Chicago,a2,0,0.75,0.9,0
Illinois,Chicago,b2,1,0.9,0.75,0
Illinois,Chicago,b3,0,0.18,1,0
Illinois,Chicago,b4,0,0.6,0.5,0
Illinois,Chicago,b5,1,0.85,0.85,0
Illinois,Chicago,c1,0,0.75,0.8,0
Illinois,Chicago,c2,1,0.7,1,0
Illinois,Chicago,c3,1,0.9,0.8,0
Illinois,Chicago,c4,0,0.3,0.9,0
Illinois,Chicago,d10,1,0.95,0.9,0
Illinois,Chicago,d2,0,0.7,1,0
Illinois,Chicago,d3,1,0.8,0.95,0
Illinois,Chicago,d6,1,0.9,1,0
Illinois,Chicago,d6b,1,0.75,0.5,0
Illinois,Chicago,d7,0,0.7,1,0
Illinois,Chicago,d8,1,0.95,1,0
Illinois,Chicago,d9,1,0.5,0.5,0
Indiana,Indianapolis,52966,1,0.7,0.6,1
Indiana,Indianapolis,sub1,0,0.5,0.5,1
Indiana,Indianapolis,31720,1,0.85,0.65,1
Indiana,Indianapolis,31828,1,0.5,1,1
Indiana,Indianapolis,32008,1,0.85,1,1
Indiana,Indianapolis,33550,1,0.8,1,1
Indiana,Indianapolis,43924,1,0.7,0.8,1
Indiana,Indianapolis,44383,1,0.95,1,1
Indiana,Indianapolis,52807,1,0.88,0.88,1
Indiana,Indianapolis,57337,1,0.4,0.6,1
Indiana,Indianapolis,57346,1,1,1,1
Indiana,Indianapolis,57394,1,0.85,0.8,1
Indiana,Indianapolis,57427,0,0.7,0.55,1
Indiana,Indianapolis,57436,1,0.8,1,1
Indiana,Indianapolis,666,1,0.7,1,1
Indiana,Indianapolis,a,1,0.9,1,1
Indiana,Indianapolis,a2,1,0.9,0.6,1
Indiana,Indianapolis,b2,1,0.8,1,1
Indiana,Indianapolis,b3,1,0.62,0.6,1
Indiana,Indianapolis,b4,1,0.7,0.7,1
Indiana,Indianapolis,b5,1,0.9,0.91,1
Indiana,Indianapolis,c1,1,0.86,1,1
Indiana,Indianapolis,c2,0,0.8,0.5,1
Indiana,Indianapolis,c3,1,0.9,0.9,1
Indiana,Indianapolis,c4,1,0.85,1,1
Indiana,Indianapolis,d10,1,0.8,0.6,1
Indiana,Indianapolis,d2,1,0.5,0.5,1
Indiana,Indianapolis,d3,1,0.8,1,1
Indiana,Indianapolis,d6,1,0.8,1,1
Indiana,Indianapolis,d6b,1,0.75,1,1
Indiana,Indianapolis,d7,1,0.8,0.9,1
Indiana,Indianapolis,d8,1,0.95,1,1
Indiana,Indianapolis,d9,1,0.8,0.5,1
Iowa,Des_Moines,52966,1,0.6,0.7,1
Iowa,Des_Moines,sub1,1,0.6,0.6,1
Iowa,Des_Moines,31720,1,0.75,1,1
Iowa,Des_Moines,31828,0,0.5,1,1
Iowa,Des_Moines,32008,1,0.7,0.9,1
Iowa,Des_Moines,33550,0,0.4,0.8,1
Iowa,Des_Moines,43924,0,0.4,0.5,1
Iowa,Des_Moines,44383,1,0.6,0.55,1
Iowa,Des_Moines,52807,1,0.66,0.99,1
Iowa,Des_Moines,57337,1,0.5,0.5,1
Iowa,Des_Moines,57346,0,0.5,0.5,1
Iowa,Des_Moines,57394,1,0.88,1,1
Iowa,Des_Moines,57427,1,0.6,0.55,1
Iowa,Des_Moines,57436,1,0.7,0.9,1
Iowa,Des_Moines,666,1,0.7,1,1
Iowa,Des_Moines,a,1,0.83,1,1
Iowa,Des_Moines,a2,1,0.8,0.6,1
