title,subject,actual_price,actual,own_price_bin,own,meta
Interval Series apolyo,PandaBear,9000,0,3,1,0.3
Galloping Horse Blur,PandaBear,1200,0,2,1,0.3
Squirrel Hole,PandaBear,85,0,1,0,0.6
Red Scarf,PandaBear,54000,1,2,1,0.3
Prelude,PandaBear,7500,0,0,0,0.7
Asleep,PandaBear,2500,0,2,1,0.5
muse 18,PandaBear,3750,0,1,0,0.6
scarlet,PandaBear,4000,0,2,1,0.3
Sinking Ship,PandaBear,902564,1,1,0,0.03
The town sonnets,PandaBear,950,0,1,0,0.75
The girl in red,PandaBear,950,0,1,0,0.2
Hotel Window,PandaBear,26896000,1,1,0,0.5
Botticelli e Filippino,PandaBear,7000,0,2,1,0.3
Ericksons,PandaBear,10344000,1,1,0,0.8
BLUE SELLY 2,PandaBear,3200,0,1,0,0.4
Censorship,PandaBear,7500,0,1,0,0.7
You are beautiful,PandaBear,2800,0,2,1,0.4
Portrait of the Artist and His Friends,PandaBear,2618925,1,2,1,0.05
HOW MUCH,PandaBear,25,0,0,0,0.3
Chorus,PandaBear,4800,0,1,0,0.45
Tender Nurse,PandaBear,2256000,1,0,0,0.35
Morning,PandaBear,1100,0,1,0,0.6
Moth,PandaBear,747825,1,2,1,0.2
Green Dress In Blue Space,PandaBear,4500,0,1,0,0.2
Falling Figure with Bird,PandaBear,1248000,1,1,0,0.6
Those Who Are Here Again,PandaBear,824000,1,2,1,0.3
Camel Driver,PandaBear,4500,0,1,0,0.6
Portrait-2,PandaBear,950,0,0,0,0.55
1304,PandaBear,6000,0,2,1,0.3
sleepy land,PandaBear,65,0,0,0,0.2
THE 10th MILKY WAY 5th CONSTELLATION GALAXY OF TUUNES,PandaBear,8000,0,2,1,0.8
Mapping the Soul,PandaBear,35,0,1,0,0.5
Bobs World,PandaBear,822400,1,2,1,0.8
Recompensa,PandaBear,980,0,3,1,0.2
High Society,PandaBear,968000,1,2,1,0.1
Jasmine,PandaBear,4200,0,0,0,0.1
A Question of Balance,PandaBear,950,0,2,1,0.4
Panic,PandaBear,75,0,2,1,0.1
under the sun,PandaBear,4800,0,3,1,0.45
abstract66,PandaBear,7500,0,3,1,0.5
White line melody,PandaBear,850,0,0,0,0.45
Lavender Mist,PandaBear,420000,1,1,0,0.2
Figure 4,PandaBear,17400000,1,2,1,0.75
Sharp Angle,PandaBear,350,0,0,0,0.4
Colorado River,PandaBear,192000,1,3,1,0.7
structure I,PandaBear,50,0,1,0,0.6
Self-Portrait as Goofy-Foot,PandaBear,744000,1,0,0,0.6
