state,expt city,subject,meta,own,actual
Hawaii,Honolulu,29,0.5,1,1
Hawaii,Honolulu,30,0.95,1,1
Hawaii,Honolulu,31,0.9,1,1
Hawaii,Honolulu,32,0.8,1,1
Hawaii,Honolulu,33,1,1,1
Hawaii,Honolulu,34,0.75,1,1
Hawaii,Honolulu,35,0.9,1,1
Hawaii,Honolulu,36,0.7,1,1
Hawaii,Honolulu,37,0.75,0,1
Hawaii,Honolulu,38,0.9,1,1
Hawaii,Honolulu,39,0.9,1,1
Hawaii,Honolulu,40,0.8,1,1
Hawaii,Honolulu,41,0.8,1,1
Hawaii,Honolulu,42,0.9,1,1
Hawaii,Honolulu,43,0.1,1,1
Hawaii,Honolulu,44,0.75,1,1
Hawaii,Honolulu,45,0.9,1,1
Hawaii,Honolulu,46,0.8,1,1
Hawaii,Honolulu,47,0.95,1,1
Hawaii,Honolulu,48,0.7,1,1
Hawaii,Honolulu,49,0.8,1,1
Hawaii,Honolulu,50,0.95,1,1
Hawaii,Honolulu,51,1,1,1
Idaho,Boise,1,0.5,0,1
Idaho,Boise,2,0.1,0,1
Idaho,Boise,3,0.75,1,1
Idaho,Boise,4,0.7,1,1
Idaho,Boise,5,0.8,1,1
Idaho,Boise,6,0.5,1,1
Idaho,Boise,7,0.7,1,1
Idaho,Boise,8,0.4,0,1
Idaho,Boise,9,0.7,1,1
Idaho,Boise,10,0.6,1,1
Idaho,Boise,11,0.6,1,1
Idaho,Boise,12,0.9,1,1
Idaho,Boise,13,0.75,1,1
Idaho,Boise,14,0.9,1,1
Idaho,Boise,15,0.45,1,1
Idaho,Boise,16,0.3,0,1
Idaho,Boise,17,0.3,0,1
Idaho,Boise,18,0.5,0,1
Idaho,Boise,19,0.75,1,1
Idaho,Boise,20,0.7,1,1
Idaho,Boise,21,0.7,1,1
Idaho,Boise,22,0.8,1,1
Idaho,Boise,23,0.6,1,1
Idaho,Boise,24,0.95,1,1
Idaho,Boise,25,0.5,1,1
Idaho,Boise,26,0.4,1,1
Idaho,Boise,27,0.8,0,1
Idaho,Boise,28,0.7,1,1
Idaho,Boise,29,0.5,1,1
Idaho,Boise,30,0.8,0,1
Idaho,Boise,31,0.7,1,1
Idaho,Boise,32,0.5,1,1
Idaho,Boise,33,1,1,1
Idaho,Boise,34,0.75,1,1
Idaho,Boise,35,0.9,1,1
Idaho,Boise,36,0.8,1,1
Idaho,Boise,37,0.8,0,1
Idaho,Boise,38,0.9,1,1
Idaho,Boise,39,0.2,1,1
Idaho,Boise,40,0.9,1,1
Idaho,Boise,41,0.7,0,1
Idaho,Boise,42,0.8,1,1
Idaho,Boise,43,0.1,1,1
Idaho,Boise,44,0.4,0,1
Idaho,Boise,45,0.9,1,1
Idaho,Boise,46,0.6,1,1
Idaho,Boise,47,0.9,1,1
Idaho,Boise,48,0.8,1,1
Idaho,Boise,49,0.5,1,1
Idaho,Boise,50,0.95,1,1
Idaho,Boise,51,0.95,1,1
Illinois,Chicago,1,0.7,1,0
Illinois,Chicago,2,0.9,1,0
Illinois,Chicago,3,0.9,1,0
Illinois,Chicago,4,0.9,1,0
Illinois,Chicago,5,0.8,1,0
Illinois,Chicago,6,0.5,1,0
Illinois,Chicago,7,0.7,1,0
Illinois,Chicago,8,0.8,1,0
Illinois,Chicago,9,0.7,0,0
Illinois,Chicago,10,0.4,0,0
Illinois,Chicago,11,0.7,0,0
Illinois,Chicago,12,0.9,1,0
Illinois,Chicago,13,0.8,1,0
Illinois,Chicago,14,0.8,1,0
Illinois,Chicago,15,0.5,0,0
Illinois,Chicago,16,1,1,0
Illinois,Chicago,17,0.3,0,0
Illinois,Chicago,18,0.8,1,0
Illinois,Chicago,19,0.8,1,0
Illinois,Chicago,20,0.3,0,0
Illinois,Chicago,21,0.7,0,0
Illinois,Chicago,22,0.75,0,0
Illinois,Chicago,23,0.6,0,0
Illinois,Chicago,24,0.7,0,0
Illinois,Chicago,25,0.75,1,0
Illinois,Chicago,26,0.6,0,0
Illinois,Chicago,27,0.6,1,0
Illinois,Chicago,28,0.4,0,0
Illinois,Chicago,29,0.5,0,0
Illinois,Chicago,30,0.9,1,0
Illinois,Chicago,31,0.95,1,0
Illinois,Chicago,32,0.65,0,0
Illinois,Chicago,33,1,1,0
Illinois,Chicago,34,0.75,0,0
Illinois,Chicago,35,0.8,1,0
Illinois,Chicago,36,0.7,1,0
Illinois,Chicago,37,0.8,1,0
Illinois,Chicago,38,0.9,1,0
Illinois,Chicago,39,0.6,1,0
Illinois,Chicago,40,0.9,1,0
Illinois,Chicago,41,0.6,0,0
Illinois,Chicago,42,0.5,0,0
Illinois,Chicago,43,0.1,0,0
Illinois,Chicago,44,0.8,1,0
Illinois,Chicago,45,0.9,1,0
Illinois,Chicago,46,0.25,0,0
Illinois,Chicago,47,0.95,1,0
Illinois,Chicago,48,0.8,1,0
Illinois,Chicago,49,0.75,1,0
Illinois,Chicago,50,0.05,0,0
Illinois,Chicago,51,1,1,0
Indiana,Indianapolis,1,0.6,1,1
Indiana,Indianapolis,2,0.85,1,1
Indiana,Indianapolis,3,0.75,1,1
